reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion
17579f4a-91f8-4d30-bbb0-be06c4d8b14b,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Shopee yang sekarang kualitasnya bagus tetapi parahnya di pengiriman. Dari sistemnya mengutamakan ekspedisi SHOPEE EXPRESS yg hanya membuat pelanggan kecewa. Paket saya sudah 3x dilaporan kurir sudah ditugaskan tapi nyatanya tidak pernah diantar. Dan lebih parahnya lagi kurirnya sudah WA saya mau diantarkan dan saya masih menanggapi kurirnya, tetapi paketnya tidak ada dan laporannya penerima tidak ditempat atau tidak bisa dihubungi dan akan dikembalikan ke pengirim. Gila gak sih ini?",1,167,3.45.60,2025-03-15 13:05:26,"Hi Kak Nanda  , maaf ya udah bikin kakak nggak nyaman terkait pengiriman yg lama. biar bisa aku bantu cek, boleh infoin username & nomor pesanannya beserta SS review ini ke DM IG @shopee_ID. aku tunggu ya kak ^YT",2025-03-15 15:03:24,3.45.60
1fe8a0f9-9aa2-47cd-9a6c-660e64a47552,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Apk belanja yang mudah dan beragam pilihan toko terpercaya, banyak voucher namun terkadang ongkos kirim yang masih mahal, banyak promo menarik terutama di event² tertentu. Lebih transparan lagi dalam mengadakan Flash Sale di tanggal² cantik, jangan sampai masyarakat dibuat bingung dengan Flash Sale serba 1000. Karena saya pernah beberapa kali mengikuti event tsb dengan sangat minim peluang untuk mendapatkan hadiah. Kadang stok hadiah tidak tersedia/sudah habis ketika di CO,padahal saldo cukup.",4,11,3.45.60,2025-03-16 04:29:12,"Hi Kak Abdul, terima kasih untuk feedbacknya.

supaya Aku tambah semangat boleh dong tambah lg bintangnya jadi 5 hehe. Stay tune terus di aplikasi dan sosial media resmi Shopee biar gak ketinggalan info terbaru dan promo menarik lainnya.

Kalo ada pertanyaan terkait shopee infoin ke dm IG @shopee_id ya. ^RJ",2025-03-16 05:32:13,3.45.60
bdf64f03-3253-4341-93cc-869809e8e8a0,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Tidak bisa melakukan pembayaran listrik, dan pembayaran lainnya karena ada tulisan "" Sedang downloading... Sedang memuat fitur mohon tunggu sebentar "" Udah 6 jam sebentar gimana ini 0% terus gak nambah nambah. Padahal jaringan wifi internet saya 5G ms ping pun rendah super kenceng -_- server shopee jelek.",1,69,3.45.60,2025-03-15 14:16:55,"Hai kak ichan, maaf ya udh bikin ga nyaman. Aku sarankan buat clear cache apk. Pastikan koneksi jaringan stabil dan apk sudah versi terbaru. Di coba secara berkala dalam waktu 1x24 jam ya kak. Jika masih ada bisa infoin ke aku di DM @Shopee_id atau @Shopeecare_id ya kak. Stay safe ^BW",2025-03-15 16:20:52,3.45.60
534598cc-6c6c-41b0-8825-72f4fbf3dc22,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Sudah dua bulan, setiap buka langsung diarahin ke live dan video, saya sangat tidak suka metode ini karena tidak suka lihat live dan video, berisik. Belum lagi ngebug parah banget. Mau pindah ke beranda atau profil langsung close secara tiba-tiba. Selalu begitu, bahkan mau checkout saja langsung close aplikasinya, jadi males buat checkout. Sudah diperbarui tidak ada perubahan, sudah coba uninstall sama saja. Sudah tidak ada kenyamanan, jadi males mau pakai shopee",1,71,3.45.60,2025-03-15 05:13:35,"Hi kak Tia Monika, maaf ya udah bikin km ga nyaman krn kendala aplikasi, Aku saranin utk update aplikasi, Pastiin jaringan km stabil, Clear Cache aplikasi Shopee, Log out & Log in kembali, dan bisa coba secara berkala ya 1x24 jam. Kalau ada pertanyaan terkait Shopee boleh bgt DM Aku di @Shopee_id / @Shopeecare ya. Have a nice day ^AF",2025-03-15 06:15:36,3.45.60
98ed0c43-86a4-4c02-bae5-7281c9031cb5,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Aplikasi paling ga jelas, hp ku restart ulang semua datanya hilang, pas coba login shoope email udh bener password bener, malah ada verifikasi wajah, mana ga bisa terus verifikasi wajah nya gagal terus, kalau mau login kasih opsi keamanan lain lah kalau verifikasi wajah nya ga bisa suruh masukin password kek apa kek, aplikasi belanja online terburuk sih ini",1,39,3.45.60,2025-03-15 08:03:40,,,3.45.60
07cf330b-ee07-4827-8847-c15444cf34a2,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Lagi Pengen belanja pakai shoopepay dan barangnya cukup limited. Durasi tinggal 2 jam lagi. pas mau bayar malah nge download sesuatu ga tau apa. wifi lancar saja tapi lama banget memuat fiturnya. sampe barang limit habis terjual karena kesal, saya tinggal sampai malam. eh pulang-pulang masih memuat. Cuma bisa ketawa aja",2,44,3.45.60,2025-03-15 08:13:43,,,3.45.60
dd4ce7b5-1c46-4522-afa5-376c71e297dd,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Sangat membantu buat para wanita yg males belanja keluar, eheheh cari di Shopee semua serba ada, tinggal nunggu cantik, harga jg bnyak diskon & promo gratis ongkirnya, bahan jg gk semua KW², toko jg ada yg amanah,, thanks Shopee, semoga sukses sllu🤩🤩🤗",5,497,3.45.60,2025-03-15 11:22:43,"Hi kak City Nufha, thanks ya bintang dan ulasannya. Aku ikut senang kalo bisa terbantu dalam berbelanja online. Moga Shopee bisa terus kasih yang terbaik buat penggunanya biar kakak selalu nyaman dan aman pakai Shopee. Klo ada pertanyaan terkait Shopee jangan sungkan DM aku di @Shopee_ID ya. Sehat selalu ^CH",2025-03-15 13:18:09,3.45.60
6821a0e4-7446-4940-a2cc-344977758497,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Buka awal aplikasi shopee otomatis ke sesi live ""itu mengganggu banget"" Kita pengguna di tempat sepi tiba tiba ribut mengganggu orang!!! buat aplikasi jangan aneh aneh pilihan user itu mau pilih apa tolong masukkan ke menu beranda awal buka aplikasinya",1,56,3.45.60,2025-03-15 10:55:47,,,3.45.60
304dd5a8-e2cf-4eb3-8631-b642810cda9b,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Shopee bagus bgt, sejauh ini ga pernah ada kendala lancar aja bahkan selalu ada gratis ongkir dan ada cashback,diskon klau barang tidk sesuai juga bisa di retur tidk pernah ada komplain klau bayar pakai debit juga lancar klau ingin ngebatalin uang 100% kembali.",5,401,3.44.26,2025-03-15 08:14:08,"hi kak Ainun , makasih buat review dan bintang nya, yuk cek aplikasi shopee biar ga ketinggalan promo-promo menarik lainnya biar tambah semangat belanjanya. kalo ada pertanyaan/kendala terkait Shopee boleh diinfoin ke DM sosmed @Shopeecare yaa. terimakasih ^PO",2025-03-15 09:32:05,3.44.26
9b18c99e-f33e-4e80-86e1-cee7778189b9,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Transaksi saya selalu dibatalkan sistem, padahal udah nyoba beli yang lainnya tetapi tetap aja nggak bisa. Nggak lucu akunya udah transaksi dengan total puluhan juta sebelumnya tapi gara-gara 1x checkout barang bayarnya beberapa jam setelahnya langsung akunya selalu gagal dalam transaksi sampai berbulan-bulan, sehingga saya transaksi cuma di Tokopedia dan tiktok shop.",1,54,3.44.26,2025-03-13 15:01:27,,,3.44.26
a41dd273-3091-4e09-bf6f-f5f4e35e1497,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Buka aplikasi langsung keluar video iklan ,jd reseh.gak bisa di stop.keluar aplikasi suara masih bunyi.terkadang apa yang di iklan kan tidak sama dengan yang ada di keranjang.harusnya di tertibkan yang kayak begitu.",1,152,3.44.26,2025-03-09 04:28:43,"Hi kak amir suciawan, mohon maaf ya kak atas ketidaknyamanannya terkait iklan Shopee. aku infoin bahwa adanya iklan bertujuan agar pengguna mengetahui promo yang sedang berjalan di Shopee ya kak. Dan feedback kamu udah aku tampung untuk perbaikan kedepannya agar lebih baik ya kak. informasi lengkapnya kaka bisa DM IG @Shopee_id. Sehat selalu^YQ",2025-03-03 10:18:59,3.44.26
cda14049-aed1-47b1-9706-3673e3df52db,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"ini update pengirimanya lama udah seharian tidak ada update pengiriman sama sekali di aplikasinya ,SANGAT KECEWA sama shope ekspedisi SPX SANGAT LAMBAT!! tidak ada perubahan status pengiriman , ga butuh vuocher karna ga berguna buat saya , butuhnya tolong percepat pengiriman!! sudah terlalu lama menunggu!",1,116,3.45.60,2025-03-13 02:25:27,"Hi kak PLAYER PRO NOOB , maaf banget ya udah buat kamu ga nyaman. terkait kendala kamu, Aku infoin kamu bisa chat ke aku melalui DM ke social media @Shopee_id/@Shopeecare dgn melampirkan no pesanan dan username. Sehat selalu ^RB",2025-03-10 14:41:00,3.45.60
403158fb-1e4a-4bfc-9e95-2c72b05be04d,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Sngat buruk tidak ada guna nya agen platinum sekali pun, tidak bisa memberikan pelayanan terbaik untuk agen yg sudah berbelanja di akun ini.. Sangat kecewa.. dengan team pengiriman yg gak beres, estimasi waktu sampai sudah 17 hari gak sampai-sampai.. Di chat berulangkali, gak sampai -sampai. . Kalau terlambat gini, siapa yg di salahkan... Pihak pengiriman sulit di hubungi.. Kecewa la lihat pelayanan kalian..",1,9,3.45.60,2025-03-15 22:07:21,"Hi kak Faza Fairuz, mohon maaf atas ketidaknyamanannya terkait kendala pesanan kakak. biar bisa aku bantu cek, boleh infoin username & nomor pesanannya ke DM IG @shopee_ID. aku tunggu ya kak, ^YT",2025-03-15 23:12:48,3.45.60
bfb1ed44-fd2c-4c6e-8124-6f52679837ee,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"untuk kemanan bertransaksi sangat aman,sayangnya di metode pembayaran shopee pay saldo harus sesuai harga asli barang.Jadi walaupun pakai voucer diskon dan harga akhir sudah pas dengan saldo tetap gk bisa di cek out karena saldo gak sesuai harga asli barang. kalau bisa tolong dihapus saja,fitur ini bikin rugi karena harus top up lagi🗿",4,16,3.45.60,2025-03-15 13:00:44,"Hai kak Rahmat, mohon maaf ya udh buat kakak kecewa. Terkait feedback dri kakak akan kami jadikan masukkan agar kedepannya Shopee selalu memberikan pelayanan yg terbaik utk semua pengguna ya kak. Terimakasih ^BW",2025-03-15 15:08:03,3.45.60
